French,English
aussi,Also
avoir ,to have
vraiment ,Really
voir ,see
même ,even
sa ,her
maintenant ,now
tous,all
peut,can
deux,two
ces,these
êtes,are
allez,Go on
ta,your
autre,other
peu,little
temps,time
quelque,some
fais,do 
toujours,always
encore,Again
notre,OUR
mes,my
besoin,need
avait,had
accord,agreement
faut,must
dois,have to
vie,life
peut-être,maybe
aller,go
fois,times
vu,seen
donc,SO
sans,without
monde,world
étais,was
parce,because
avant,Before
sûr,on
trop,too much
quelqu',someone
parler,talk
personne,person
avais,had
père,father
crois ,believe
après,After
aux,to
dieu,God
ouais,Yeah
ses,his
pense,think
eu,had
aime,love
leur,their
homme,man
viens,come
vrai,TRUE
femme ,women
ok ,OK
doit ,must
veut ,wanna
ans ,years
m. ,mr.
mal ,wrong
chez ,at the house of
déjà ,Already
depuis ,Since
beaucoup ,a lot
vos ,your
bonne ,Good
mort ,dead
mieux,better
vas,go
mère,mother
sera ,will be
dis,say
fille,girl
tes,your 
gens,people
quel,what
vois,see 
désolé,Sorry
ca,That
voilà,There
avons,have
petit,little
maison,House
soit ,either
cela,that
autres,others
toute,all
soir ,evening
passé,pass
prendre,take
jour,day
monsieur,Sir
nos,our
partie,part
histoire,history
chercher,seek
seulement,only
police,police
pensais,thought
aide,help
demande,request
genre,gender
mois,month
frère,brother
laisser,to leave 
car,because
mettre,put
aucun,none
laisse,leave alone
eux,them
ville,city
chaque,each
parlé,speak
arrivé,arrived
devrait,should
bébé,baby
longtemps,a long time
heures,hours
vont,are going
pendant,during
revoir,goodbye
aucune,none
place,place
parle,speak
compris,Understood
savais,knew
étaient,were
attention,attention
voici,here is
pourrais,could
affaire,affair
donner,give
type,kind
leurs,their
donné,given
train,train
corps,body
endroit,place
yeux,eyes
façon,way
écoute,listen
dont,of which
trouve,find
premier,first
perdu,lost
main,hand
première,first
côté,side
pouvoir,power
vieux,old
sois,be
tiens,hold
matin,Morning
tellement,such
enfant,child
point,point
venu,came
suite,following
pardon,pardon
venez,come
devant,in front
vers,towards
minutes,minutes
demandé,request
chambre,bedroom
mis,put
belle,beautiful
droit,right
aimerais,would like to
aujourd'hui,Today
mari,husband
cause,cause
enfin,Finally
espère,hope
eau,water
attendez,wait
parti,left
nouvelle,new
boulot,job
arrêter,Stop
dirait,would say
terre,earth
compte,account
donne,given
loin,far
fin,END
croire,believe
chérie,Dear
gros,fat
plutôt,instead
aura,will have
filles,girls
jouer,play
bureau,desk
